Solvent,Solute,logK,deltaG_solv
CC1COC(=O)O1,CCC(C)(C)OC,2.59,-0.15322
CC(C)O,CCC1CCCCC1,3.27,-0.19345
CCC(=O)C,CC(=C)CC(C)(C)C,3.18,-0.18813
CC(=O)O,C(=O)=O,0.681,-0.04029
c1ccncc1,Cc1ccc(cc1)C,4.223,-0.24983
CC(C)OCCO,C1CCOC1,2.99327780069,-0.17708
Cc1ccccc1C,C(F)(F)(F)F,-0.888,0.05253
Cc1ccccc1,CC(=C)C=C,2.429,-0.1437
CCCCCCC,C1C[C@@H]2[C@@H](CCCC2)CC1,5.07,-0.29994
COc1ccccc1,CCCCCCC,2.952,-0.17464
CCCCCC,CCCCCCCCCCCC,6.038,-0.3572
C(Cl)(Cl)(Cl)Cl,CCOCCO,3.572,-0.21132
c1ccncc1,C1COCCO1,3.811,-0.22546
C1CCOC1,CCCc1ccccc1,4.87,-0.28811
CCCOCCC,O=O,-0.474,0.02804
CCCCCC,CCCCC(=O)OC,3.613,-0.21374
c1ccc(cc1)I,C1COCCO1,3.63,-0.21475
C(Cl)(Cl)Cl,Cc1ccc(c(c1)C)O,5.91,-0.34963
C1CCC(=O)CC1,c1ccccc1,3.297,-0.19505
Cc1ccccc1,CCCCCCC,3.335,-0.1973
CCCCCCC,C(F)(F)(F)F,-0.456,0.02698
C1COCCO1,CCCCCCl,3.551,-0.21007
C(I)I,C(Cl)Cl,2.05,-0.12128
Cc1ccc(cc1)C,C=CC=C,1.799,-0.10643
C(Cl)(Cl)(Cl)Cl,CCC(CC)(CC)O,4.413,-0.26107
C(CCl)Cl,c1ccc(cc1)N,5.75,-0.34017
c1ccc(cc1)I,CCI,3.14,-0.18576
CC(=O)c1ccccc1,CC1CCCCC1,2.88,-0.17038
CCCCCC,CN,1.202,-0.07111
CCOC(=O)C,c1ccccc1,3.24,-0.19168
CCc1ccccc1,CO,1.704,-0.10081
C(I)I,CCCO,2.59,-0.15322
CCCCO,CCCC#N,3.39,-0.20055
CCCCCCCCCCCCCCCC,CCCCC(=O)CCCC,4.64,-0.2745
CCCCOP(=O)(OCCCC)OCCCC,N,0.85,-0.05029
CCC(=O)C,CCCCl,2.7,-0.15973
Cc1ccc(cc1)C,O=O,-0.609,0.03603
CC1CCCCC1,CC(C)CO,2.89,-0.17097
CCCCC,CC(C)CCC(C)C,3.66,-0.21652
C/N=C/O,CO,3.33,-0.197
CCCCCCCCCCCCCCCC,CCCCCOC(=O)CC,4.35,-0.25734
CC(=O)OC,C=CC#C,2.34,-0.13843
CCCCCCCC,CO,1.06,-0.06271
CCCCOP(=O)(OCCCC)OCCCC,C[C@H]1CC[C@@H](CC1)C,3.25,-0.19227
CN(C)C=O,C(C(F)(F)Cl)(F)(F)Cl,1.17,-0.06922
CC(C)O,C(=O)=O,0.31,-0.01834
CC(C)O,Cc1ccccn1,4.31,-0.25498
CCCCCCCC,CC(C)C=C,2.14,-0.1266
C(Cl)(Cl)(Cl)Cl,CCN,2.03,-0.12009
CN1CCCC1=O,C(F)F,1.24,-0.07336
C1COCCO1,c1(c(c(c(c(c1F)F)F)F)F)F,3.1,-0.18339
CN1CCCC1=O,[Ar],-0.99,0.05857
CCCCCCCCCCO,CCCCBr,3.07,-0.18162
CN(C)C=O,C[Sn](C)(C)C,2.25,-0.13311
C1CCOC1,c1ccc(cc1)Cl,4.43,-0.26208
Cc1ccccc1,C/C=C/C,1.871,-0.11069
CCc1ccccc1,CCCN,2.521,-0.14914
CCCCCCCCO,CCCCCCCCCCCCCCCCO,9.9,-0.58568
CC(C)CC(C)(C)C,CCC=C,1.656,-0.09797
Cc1ccc(cc1)C,CCCCCCC,3.336,-0.19736
CCCCCCCCCCCCCCCC,C1CCC(C1)O,3.27,-0.19345
CC1COC(=O)O1,CCCCC=C,1.73,-0.10235
CCc1ccccc1,CCCCCCCC,3.64,-0.21534
CCC#N,CC(C)C(C)C(C)C,2.83,-0.16742
CC1CCCCC1,CCC(C)O,2.83,-0.16742
C(I)I,CC[N+](=O)[O-],3.14,-0.18576
CCCCCCCO,[Kr],-0.219,0.01296
c1ccc(cc1)C#N,CI,2.5,-0.1479
CCCCCCCCO,CN1CCCC1,3.64,-0.21534
C(Cl)(Cl)(Cl)Cl,CCCC(C)C,2.806,-0.166
CCCCC,C(Cl)Cl,2.13,-0.12601
CN1CCCC1=O,CC(C)C(C)(C)C,2.04,-0.12069
CC1COC(=O)O1,S,1.14,-0.06744
CCCCCCC,Cc1cccc(c1)O,4.233,-0.25042
CCCCCC,CCCCCCCCCCO,5.64,-0.33366
CCCCCCO,CCc1ccccc1,3.7,-0.21889
CN1CCCC1=O,CC(=O)C,2.91,-0.17215
CC(C)CC(C)(C)C,Cc1ccncc1,3.63,-0.21475
CO,CC#N,2.96,-0.17511
CN1CCCC1=O,C(C(F)(F)Cl)(F)(F)Cl,1.09,-0.06448
C1COCCO1,C[N+](=O)[O-],3.71,-0.21948
C1CCC(=O)CC1,[Xe],0.356,-0.02106
CCCCCCCCCCCCCCCC,C(Br)(Br)Br,3.747,-0.22167
CCC(C)O,[Ne],-1.41,0.08341
CCCCCCCO,[He],-1.706,0.10093
C(=O)N,CCCC,0.09,-0.00532
CC(C)O,c1ccccc1,2.67,-0.15796
C/N=C/O,CCCCCC,1.71,-0.10116
CCCCOCCCC,C1CCC(=O)C1,3.53,-0.20883
c1ccc(cc1)Cl,CCO,1.97,-0.11654
C(Cl)(Cl)(Cl)Cl,CCCO,2.64,-0.15618
CO,CCOC(C)(C)C,2.98,-0.17629
CC(=O)N(C)C,C=CCO,3.44,-0.20351
CCCCCCCC,[He],-1.453,0.08596
C(CCl)Cl,CCCCCC(=O)O,5.13,-0.30349
CCCOCCO,CC1CCCCC1,2.8895175142,-0.17094
CN(C)C=O,CCC=C,1.3,-0.07691
C1COCCN1C=O,CCCO,3.69,-0.2183
C1CCOC1,CC(C)c1ccccc1,4.77,-0.28219
CCOC(=O)C,C(C(F)(Cl)Cl)(F)(Cl)Cl,3.39,-0.20055
CCCCCCCCCCO,[Xe],0.364,-0.02153
CCCO,CCC=C,1.47,-0.08696
CCCCCC,O=O,-0.428,0.02532
CN1CCCC1=O,C(C(F)(F)F)(F)Cl,1.75,-0.10353
c1ccncc1,CCCCCCCCCC,4.225,-0.24995
COCCO,c1ccncc1,3.982,-0.23557
CC(=O)OC,C#C,1.29,-0.07632
C(Cl)(Cl)Cl,c1ccc(cc1)CCO,6.29,-0.37211
CC(=O)N(C)C,CCOC(C)(C)C,2.59,-0.15322
CC(=O)C,CCCCCCCC,3.23,-0.19108
CCCCO,COC,1.5,-0.08874
Cc1ccccc1,CC[N+](=O)[O-],3.388,-0.20043
CCCCCCCCCCCCCCCC,CC(C)COC(=O)C,3.18,-0.18813
CCCCCCO,[N-]=[N+]=O,0.36,-0.0213
CCC(C)O,[Xe],0.39,-0.02307
CCCCCCCCCCCO,[Ar],-0.749,0.04431
CCCCCCCCCC,CCCCCOC(=O)C,3.938,-0.23297
CCCCCCC,c1cc(ccc1Cl)Cl,4.258,-0.2519
COCCO,CCCCCCCCCCC,3.785,-0.22392
C(=S)=S,CC(C)C(C)C(C)C,3.664,-0.21676
COc1ccccc1,CCCCCC,2.472,-0.14624
CCCCCCCC,CC(=C)C=C,2.33,-0.13784
C(Cl)(Cl)Cl,CCO,2.94,-0.17393
CCCCO,CCCOCCC,3.03,-0.17925
C(CCl)Cl,c1ccc(c(c1)[N+](=O)[O-])Cl,6.35,-0.37566
C(Cl)(Cl)(Cl)Cl,CCNCC,3.023,-0.17884
C(Cl)(Cl)Cl,c1ccc(c(c1)CO)O,6.96,-0.41175
CN(C)C=O,C1CCCCCC1,2.78,-0.16446
c1ccc(cc1)N,S,1.248,-0.07383
CCC(C)(C)OC,C1CCCCC1,3.154,-0.18659
Cc1ccccc1,CCC(=O)C,3.147,-0.18617
CCCOCCO,C1CCCCC1,2.63882072438,-0.15611
Cc1ccccc1,[N]=O,-0.595,0.0352
CCCO,CC,0.45,-0.02662
CCCCCCCCCCCO,N#N,-1.069,0.06324
CC(=O)C,C(C(F)(Cl)Cl)(F)(F)Cl,2.43,-0.14376
C(Cl)(Cl)Cl,C(=S)(N)N,5.31,-0.31414
CCCCOCCCC,C(Cl)(Cl)Cl,3.05,-0.18044
CCCCCCCCCCCCCCCC,[Ar],-0.688,0.0407
CO,CCI,2.62,-0.155
C(Cl)(Cl)(Cl)Cl,CCCC(C)(C)O,3.781,-0.22368
CCCCCCCCO,CC(C)(C)OC,2.58,-0.15263
CCCCCCCCCCCCCCCC,CCCCc1ccccc1,4.686,-0.27722
COCCO,C1CCOC1,2.877,-0.1702
CCCCCCCCCC,c1cc(oc1)C=O,3.307,-0.19564
CCCCCCCCCCCCCCCC,C1CCC(=O)C1,3.12,-0.18458
CC1COC(=O)O1,CC(C)OC(C)(C)C,2.34,-0.13843
CCC(C)O,C=CC=C,1.52,-0.08992
CO,CCC(=O)OC,3.17,-0.18754
CCCCCCCCCCCC,[Kr],-0.09,0.00532
Cc1ccccc1,[C-]#[O+],-0.74,0.04378
CCCCCCCC,CCCCC(=O)OC,3.558,-0.21049
CCCCCCC,O=O,-0.471,0.02786
CCc1ccccc1,CCN,1.902,-0.11252
CC(C)CO,N#N,-0.89,0.05265
CCCCCCCCCCCC,CCC(CC)C(CC)O,4.32,-0.25557
CC(=O)C,CC(=C)c1ccccc1,4.67,-0.27627
CO,[Ne],-1.31,0.0775
CCOCCO,c1ccc(cc1)Br,4.359,-0.25788
CCCCCCCC,CCCO,2.13,-0.12601
CN1CCCC1=O,C1CCC=CCC1,3.09,-0.1828
CCCOCCO,CC(C)O,3.38582086755,-0.2003
CCCO,CCCCCCCCCCO,7.13,-0.42181
CCCCO,CCOC(=O)C,2.91,-0.17215
Cc1cccc(c1)C,CCC=C,1.688,-0.09986
c1ccc(cc1)F,C1COCCO1,3.78,-0.22362
C/N=C/O,CC(C)C(C)C(C)C,2.36,-0.13962
C/C(=N/C)/O,C1COCCO1,3.42,-0.20232
CCCCCC,CCCCC,2.44,-0.14435
CCCCCC,CCCCOCCCC,4.334,-0.2564
CCCCCCCCCCCC,CCCCCCCC,3.75,-0.22185
C(Cl)(Cl)(Cl)Cl,CCCC(=O)C,3.52,-0.20824
CCOC(=O)C,C[Sn](C)(C)C,2.64,-0.15618
CCCCCCCCCCCCCCCC,C/C=C/C=O,2.57,-0.15204
c1ccc(cc1)I,C[N+](=O)[O-],2.93,-0.17334
Cc1ccccc1,CN(C)C,1.986,-0.11749
C1CCC(=O)OCC1,CCC(=O)C,3.127,-0.18499
C(Cl)(Cl)Cl,CC(C)C(C)(C)O,4.475,-0.26474
CCCCCCCCCCO,O=O,-0.801,0.04739
C/N=C/O,CC1CCCC1,1.96,-0.11595
CCCCCCCC,CCO,1.6,-0.09465
CCCCOC(=O)C,CC(C)C(C)C(C)C,3.34,-0.19759
C1COCCN1C=O,C[C@H]1CCCC[C@@H]1C,2.42,-0.14317
CC(CO)O,CCCCCCCC,1.996,-0.11808
CC1COC(=O)O1,[HH],-1.46,0.08637
CCO,Cc1ccc(cc1)C,3.73,-0.22066
CC(=O)N(C)C,C/C=C/C=C,2.25,-0.13311
CN(C)C=O,C(C(F)(F)F)F,1.62,-0.09584
CCOCC,[HH],-0.84,0.04969
CC(=O)N(C)C,c1ccccc1,3.27,-0.19345
CC(=O)C,C/C=C/C,1.81,-0.10708
CCCCCCCCCCCCCCCC,CC(CCl)Cl,2.85,-0.1686
CCCCCCCCCCCCCCCC,CCCS,2.685,-0.15884
Cc1ccc(cc1)C,CC(C)C,1.509,-0.08927
CCCCCCCCCCCCCCCC,CCCC(=O)OC,2.943,-0.17411
CC(=O)c1ccccc1,CCCCC,1.772,-0.10483
C(Cl)(Cl)(Cl)Cl,II,3.853,-0.22794
CN1CCCC1=O,[HH],-1.45,0.08578
CCCCOCCCC,C[Sn](C)(C)C,3.12,-0.18458
Cc1ccc(cc1)C,C(CCl)O,3.496,-0.20682
CCCCCCCCCCCC,[HH],-1.11,0.06567
CCCCCCCCCC,CC(CC(C)(C)C)O,3.909,-0.23125
COc1ccccc1,CCCCC,2.0,-0.11832
Cc1cccc(c1)C,CCO,2.201,-0.13021
CCCCCCCO,[Ar],-0.685,0.04052
CC(=O)c1ccccc1,CCCC=C,1.841,-0.10891
Cc1cccc(c1)C,C(Cl)Cl,2.624,-0.15523
CCCCOP(=O)(OCCCC)OCCCC,Cc1ccc(cc1)C,3.97,-0.23486
CCCCCCCCCCCCCCCC,Cc1ccccc1Br,4.52,-0.2674
CCCCCl,CCCCCCCCO,5.292,-0.31307
CC(C)O,CC,0.48,-0.0284
CCCCOC(=O)C,C(Cl)(Cl)(Cl)Cl,3.12,-0.18458
CCCCCCCCCC,CCCCC(=O)C,3.379,-0.1999
CCC(C)(C)OC,CCCCCC,2.871,-0.16985
CC1CCCCC1,CCC1CCCCC1,4.05,-0.2396
c1ccc(cc1)Br,CC(=O)OC,2.7,-0.15973
CN(C)C=O,C[N+](=O)[O-],4.07,-0.24078
c1ccc(cc1)Cl,CCN(CC)CC,3.42,-0.20232
c1ccc(cc1)Cl,CC(C)CCC(C)C,3.64,-0.21534
CCCCCCCCCCCCCCCC,CCCCOC(=O)C,3.379,-0.1999
CC(C)(C)O,CC(C)O,3.68,-0.21771
CN(C)C=O,CCC1CCCCC1,2.97,-0.1757
c1ccc(cc1)N,CCC(C)C,1.13,-0.06685
CCCCOCCO,C1CCC=CC1,2.84,-0.16801
C(Cl)(Cl)Cl,Cc1ccc(c(c1)C)N,6.5,-0.38454
CCc1ccccc1,CCCCCCCl,4.229,-0.25018
CN1CCCC1=O,CCCC(=O)OCC,3.59,-0.21238
C(I)I,CCc1ccccc1,3.67,-0.21711
CCCO,CCCCCO,4.97,-0.29402
CCCC(C)O,CCCl,1.73,-0.10235
c1ccncc1,c1ccc(cc1)F,3.439,-0.20345
CCCCCCCCCCCC,CC,0.58,-0.03431
CCCCC,CC,0.74,-0.04378
CO,CCCl,1.93,-0.11418
C1COCCO1,[HH],-1.29,0.07632
c1ccc(cc1)Cl,[Ar],-0.69,0.04082
CO,C(C(F)(F)F)(C(F)(F)F)O,4.79,-0.28337
CCCCCCCCO,CCOCC,2.19,-0.12956
CCCCO,CC(=C)C=C,2.12,-0.12542
CCCCOP(=O)(OCCCC)OCCCC,CC(=O)OC,2.52,-0.14908
c1ccc(cc1)Br,[C-]#[O+],-0.87,0.05147
CCCCCCCC,CCC(=O)OC,2.619,-0.15494
Cc1ccccc1,CC#N,2.679,-0.15849
CCCCOC(=O)C,CCCCCCO,5.01,-0.29639
CCCCCCCCCCCCCCCC,CCCOC(=O)C,2.878,-0.17026
C1COCCO1,C1CCOCC1,3.32,-0.19641
C1CCC(=O)CC1,C1CCCCC1,2.812,-0.16636
CCCCO,CCCO,3.83,-0.22658
CCCCCCCCO,Cc1ccccc1,3.31,-0.19582
CCCCCCCC,CC(=C)C,1.77,-0.10471
CC(C)OCCO,CCCCCC,2.32241127477,-0.13739
C1CCOCC1,CC(F)F,1.45,-0.08578
C1COCCO1,C=CC#C,2.35,-0.13902
CCCCCCCCO,CN(C)C,1.94,-0.11477
CCCCOP(=O)(OCCCC)OCCCC,C[C@@H]1CCC[C@H](C1)C,3.29,-0.19463
CCCCCCCCO,CC(C)COC(=O)C,3.45,-0.2041
CCCCOCCCC,CC(=O)C,2.25,-0.13311
C1CCC(=O)CC1,CCCCCCCC,3.419,-0.20227
CN(C)C=O,CCCCCCCC,2.74,-0.1621
CC(=O)N(C)C,CCCC(C)C,1.94,-0.11477
CCCO,[Kr],-0.16,0.00947
CCCCCCCCCCCCCCCC,c1ccc(cc1)O,3.856,-0.22812
C1COCCN1C=O,C1CCCC1,1.63,-0.09643
Cc1ccccc1,C(F)(F)(Cl)Cl,1.014,-0.05999
CC1COC(=O)O1,CCC1CCCCC1,2.5,-0.1479
CCCCCC,CC,0.757,-0.04478
C(Cl)(Cl)(Cl)Cl,c1ccc(cc1)Br,4.65,-0.27509
Cc1ccccc1,c1ccc(cc1)N,4.97,-0.29402
CCCCCCCCCCCCCCCC,CC(C)OC=O,2.23,-0.13193
C(Cl)(Cl)Cl,c1cc[nH]c1,4.12,-0.24374
CCCCCCCCCCCC,FS(F)(F)(F)(F)F,-0.05,0.00296
Cc1ccc(cc1)C,[Ar],-0.608,0.03597
CCCCCCCCCC,C=C,0.421,-0.02491
CCCCCO,CCCO,3.98,-0.23545
C1COCCO1,C1COCCN1,4.19,-0.24788
C1CCC(=O)CC1,[Ar],-0.767,0.04538
CC(C)(C)O,FS(F)(F)(F)(F)F,0.08,-0.00473
C(Cl)(Cl)Cl,C(C(=O)O)Cl,4.91,-0.29047
CC(C)(C)OC,C1CCCCC1,3.05,-0.18044
Cc1ccccc1,CCCOC(=O)C,3.665,-0.21682
CCCCCCCCCCCCCCCC,CCCOC=O,2.413,-0.14275
CCCCOP(=O)(OCCCC)OCCCC,CCCC(=O)C,3.37,-0.19937
C1COCCN1C=O,CC1CCCC1,1.81,-0.10708
CCC(C)O,CCCl,1.77,-0.10471
CC(C)CO,CCCC,1.49,-0.08815
CCCCCCC,CCN(CC)CC,3.28,-0.19404
CCCCOCCO,c1ccccc1,3.0,-0.17748
C1CCC(=O)CC1,N#N,-1.054,0.06235
CC(C)O,CCc1ccccc1,3.53,-0.20883
C/N=C/O,CCCCC=C,1.87,-0.11063
C(I)I,C(CCl)Cl,2.73,-0.16151
CCCCCCCCCC,CCCCCO,3.049,-0.18038
CC(=O)O,CCCCCCCC,2.939,-0.17387
CC(=O)C,c1ccncc1,3.97,-0.23486
CCCCCCC,CI,2.22,-0.13133
CCO,C(F)(F)(F)F,-0.72,0.04259
CN1CCCC1=O,C(Cl)Cl,3.1,-0.18339
CC(=O)N(C)C,[C-]#[O+],-0.99,0.05857
CN(C)C=O,CCF,1.43,-0.0846
C(Cl)(Cl)Cl,C[N+](=O)[O-],3.39,-0.20055
CCCCCCO,N#N,-0.955,0.0565
CCCCCCCCCC,CCCCC,2.29,-0.13547
C(Cl)(Cl)(Cl)Cl,Cc1ccccc1,3.88,-0.22954
CC(C)CC(C)(C)C,C(Cl)(Cl)Cl,2.577,-0.15245
CC(C)(C)O,CCN(CC)CC,3.21,-0.1899
C1COCCO1,C#C,1.25,-0.07395
CCO,CCOC(=O)C,2.974,-0.17594
CCCCO,CC(=C)C,1.59,-0.09406
C(=O)N,CCCCCCCCO,4.76,-0.2816
CCCCCCCCC,[HH],-1.022,0.06046
C(=O)N,CC(C)CCC(=O)C,3.31,-0.19582
c1ccc(cc1)C#N,CCO,2.817,-0.16665
CCC(=O)C,CC(C)(C)Cl,2.68,-0.15855
CN(C)C=O,CCCl,2.01,-0.11891
C/N=C/O,Cc1ccc(cc1)C,3.52,-0.20824
CCCCCCCCO,CCCCC(=O)C,3.68,-0.21771
CC(=O)N(C)C,CC(C)OC(C)C,2.5,-0.1479
C/C(=N/C)/O,C(Cl)(Cl)(Cl)Cl,2.86,-0.1692
C(Cl)(Cl)(Cl)Cl,CCCN,2.63,-0.15559
CCCCCCC,CCCCl,2.41,-0.14257
C1CCOC1,CCO,3.34,-0.19759
CC(=O)N(C)C,CCC(=O)C,3.28,-0.19404
C1CCC(=O)OCC1,CO,2.896,-0.17133
CCCCOP(=O)(OCCCC)OCCCC,CCC1CCCCC1,3.45,-0.2041
CCCCCl,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,7.792,-0.46097
c1ccc(cc1)N,C=C,0.109,-0.00645
CCCCCCCCCCCCCCCC,CCCC(C)O,2.84,-0.16801
CC(=O)N(C)C,CO,3.58,-0.21179
CCCCCCCCO,CCCC(=O)C,3.19,-0.18872
c1ccc(cc1)I,CCC(=O)C,3.1,-0.18339
CCCCOCCO,C(=O)=O,0.1911,-0.01131
C(=O)N,CCCCC,0.32,-0.01893
C(Cl)Cl,CCOC(=O)C,3.832,-0.2267
CO,COC,1.69,-0.09998
CCCCOC(=O)C,[HH],-1.103,0.06525
CCCCC,CCO,1.63,-0.09643
c1ccc(cc1)[N+](=O)[O-],C1COCCO1,3.773,-0.22321
CCCCCCCCCCCCCCCC,[He],-1.741,0.103
C1CCOC1,C(C(F)(Cl)Cl)(F)(F)Cl,2.47,-0.14612
CCO,C(=S)=S,2.27,-0.13429
c1ccc(cc1)Br,C1COCCO1,3.83,-0.22658
CCCCC,CCCCCCCCC,4.49,-0.26563
CCCCCCCCO,CCCOCCC,2.97,-0.1757
C(CCl)Cl,O=O,-0.8,0.04733
c1ccc(cc1)Br,C1CCC(CC1)O,4.74,-0.28042
CCCCCCCCO,C(Br)Br,3.07,-0.18162
Cc1ccccn1,CCCCCCCC,3.535,-0.20913
CC(=O)C,O=O,-0.56,0.03313
CCCCCCCCCCCCCCCC,CCCCCI,4.13,-0.24433
Cc1cccc(c1)C,C=CC=C,1.815,-0.10737
CCCCCCC,C1CCCCCC1,3.698,-0.21877
c1ccc(cc1)Cl,CCCCCOC(=O)C,4.8,-0.28396
C1COCCN1C=O,CO,3.13,-0.18517
CCC(C)O,CCCCO,4.47,-0.26444
CCCOCCC,CCO,2.526,-0.14944
Cc1ccccc1,CCN(CC)CC,3.45,-0.2041
CC(=O)N(C)C,CCOCC,2.06,-0.12187
CN(C)C=O,C(F)(F)(F)Cl,-0.06,0.00355
C(Cl)(Cl)(Cl)Cl,CCCCCCCCO,5.09,-0.30112
CCC(=O)C,CC(C)CCC(C)C,3.14,-0.18576
Cc1cccc(c1)C,CO,1.777,-0.10513
CCCCCCC,c1cc(cc(c1)O)O,4.281,-0.25326
CCCCCl,CC(C)CO,3.231,-0.19114
CC(C)CC(C)(C)C,CCC[N+](=O)[O-],2.888,-0.17085
CCCCOC(=O)C,C1CCC(CC1)O,5.18,-0.30645
CCCCCCCC,CCCCC=O,2.91,-0.17215
CCCCCCCCCCCC,C/C=C\C=C,2.33,-0.13784
CN(C)C=O,CC(=C)C=C,2.11,-0.12483
C(=O)N,CCCCCCCCC=O,3.2,-0.18931
CCCCCl,CCCOCCC,3.429,-0.20286
CC(C)(C)O,C,-0.25,0.01479
C1CC(=O)OC1,C1COCCO1,3.74,-0.22126
C(CCl)Cl,CCCCCCO,4.45,-0.26326
CCCCO,CCCCCCCC,3.26,-0.19286
CC(C)(C)O,CC(C)CC(C)(C)C,2.64,-0.15618
CCCCCCCCCCO,c1ccccc1,2.635,-0.15588
CCCO,CCN(CC)CC,3.5,-0.20706
Cc1ccccc1C,[He],-1.725,0.10205
CC(=O)N(C)C,CCCOC(=O)C,3.46,-0.20469
COCCO,Cc1ccc(cc1)C,3.714,-0.21972
CCCCC,C[N+](=O)[O-],1.97,-0.11654
CC(C)O,CCCC#N,3.37,-0.19937
Cc1ccc(cc1)C,CCCC=C,2.278,-0.13476
c1(c(c(c(c(c1F)F)F)F)F)F,C1COCCO1,3.606,-0.21333
c1ccc(cc1)Cl,CCI,3.06,-0.18103
Cc1ccccc1,CCCCCCCl,4.306,-0.25474
C(Cl)(Cl)(Cl)Cl,CCOCC,2.591,-0.15328
Cc1cccc(c1)C,CCOCC,2.41,-0.14257
CC(C)CO,CCCCCO,5.02,-0.29698
CN1CCCC1=O,CC(C)C(C)C(C)C,2.63,-0.15559
C(Cl)(Cl)(Cl)Cl,CCCCCCCO,4.661,-0.27574
Cc1ccccc1C,CC(C)CCO,3.621,-0.21422
c1ccc(cc1)Br,[Xe],0.4,-0.02366
CCCCCCC,CC(=C)C=C,2.36,-0.13962
CCCC#N,CCCCCC,2.334,-0.13808
CCCCCCCCCCO,CCCCCCCC,3.324,-0.19665
CO,Cc1ccccc1,3.19,-0.18872
CCCCOCCO,C1CCCCC1,2.69,-0.15914
Cc1ccc(cc1)C,CCC(C)O,3.104,-0.18363
C1CCOC1,Cc1ccccc1,3.99,-0.23605
CO,CCC(C)(C)OC,3.12,-0.18458
CC(=O)N(C)C,CC(=C)C=C,2.12,-0.12542
CCCC(C)O,CCC,0.98,-0.05798
Cc1ccccc1C,C(CCl)O,3.474,-0.20552
CC1COC(=O)O1,C(CCl)Cl,3.17,-0.18754
CN(C)C=O,CC=C(C)C,1.88,-0.11122
CC(C)OCCO,CCCCCC#C,3.13870498989,-0.18568
Cc1ccccc1,CCCCOCCCC,4.368,-0.25841
C1CCC(=O)CC1,CCCCCCCCC,3.846,-0.22753
C(Cl)(Cl)Cl,[Xe],0.53,-0.03135
c1ccc(cc1)Cl,CC(C)(C)Br,2.88,-0.17038
CCCCCCCCC,CCCCCC,2.83,-0.16742
CCC(=O)C,CCc1ccccc1,4.14,-0.24492
CN1CCCC1=O,CC(C)C=O,2.78,-0.16446
CC1CCCCC1,[Xe],0.64,-0.03786
CCCO,CCCCC,1.81,-0.10708
CCCCCCCCCC,CC1CCCC1,2.88,-0.17038
CCOCC,C1COCCO1,3.38,-0.19996
CCCCCl,CCOC(=O)C,3.172,-0.18765
CC(=O)N(C)C,CC(C)O,3.88,-0.22954
c1ccc(cc1)Br,CCN,2.0,-0.11832
C1COCCO1,N#N,-1.04,0.06153
CCCCCCCCO,CCBr,2.11,-0.12483
CCCCCCCC,CCBr,2.19,-0.12956
c1ccc(cc1)C#N,CCCC=C,1.91,-0.11299
CCCOCCC,CCCCCCO,4.622,-0.27343
CCCCCO,[Kr],-0.19,0.01124
CC(C)(C)OC,C(C(F)(Cl)Cl)(F)(Cl)Cl,3.43,-0.20292
CCCCCCCC,CCC(C)CCO,3.531,-0.20889
c1ccc(cc1)Br,Cc1ccccc1,3.79,-0.22421
CCCCCCC,CCCCCCCCO,4.7,-0.27805
CCCCCCCCCCCCCCCC,CCCCC=O,2.77,-0.16387
CCc1ccccc1,c1cc(oc1)C=O,4.292,-0.25391
CCCOCCC,N#N,-0.668,0.03952
CC(=O)O,C=CC=C,1.788,-0.10578
CC(C)OC(C)C,CCCCO,3.77,-0.22303
CCCCCCC,CCCCO,2.75,-0.16269
CO,CC(=O)OC,2.92,-0.17275
C(Cl)(Cl)Cl,COc1ccccn1,4.94,-0.29225
CCCCCCC,CC(=O)C,1.87,-0.11063
CCCCO,CC(C)(C)O,3.76,-0.22244
CC(=O)OC,CCCCCCCC,3.292,-0.19475
CC(=O)C,CC[Si](CC)(CC)CC,3.84,-0.22717
CCc1ccccc1,CCC,1.185,-0.0701
CS(=O)C,CCCCCC,1.4,-0.08282
CC(=O)C,Cc1ccccc1,3.65,-0.21593
CCCCCO,C=CC=O,2.36,-0.13962
CC(=O)C,[HH],-1.0,0.05916
CCCCCCCC,C[N+](=O)[O-],1.92,-0.11359
CCCC(C)O,CCCCCCC,2.925,-0.17304
C(Cl)(Cl)(Cl)Cl,COC(=O)c1ccccc1O,5.41,-0.32005
CN(C)C=O,C(F)(F)F,0.63,-0.03727
CCCCOP(=O)(OCCCC)OCCCC,CCCCOC(=O)C,3.78,-0.22362
CN(C)C=O,CC#C,1.83,-0.10826
CC(C)CC(C)(C)C,Cc1ccccc1,3.43,-0.20292
C(I)I,C(Cl)(Cl)(Cl)Cl,2.3,-0.13607
Cc1ccccc1,[Kr],-0.111,0.00657
CC(C)OCCO,c1ccc(cc1)Br,4.34056772738,-0.25679
COCCO,CO,3.116,-0.18434
C(Cl)(Cl)Cl,CCCOC(=O)C,4.61,-0.27272
C(Cl)(Cl)(Cl)Cl,CN,1.85,-0.10944
CC(C)OCCO,CCCCCCC#C,3.59803549156,-0.21286
CCCCCC,CC(C)O,2.02,-0.1195
CC(C)OC(C)C,CCC(C)O,3.34,-0.19759
CCCO,CC(C)O,3.67,-0.21711
CS(=O)C,CC(C)CCC(C)C,1.747,-0.10335
CC(=O)c1ccccc1,CC(C)C=C,1.806,-0.10684
CCCCCCCCO,CCCCCO,4.69,-0.27746
c1ccc(cc1)N,CCC,0.579,-0.03425
